network_id,from_id,to_id,export_value,alpha,network_name
0,40,56,304951084,0.913,Food and live animals
0,40,100,38562103,0.5904,Food and live animals
0,40,191,85694913,0.0282,Food and live animals
0,40,196,8960827,0.4623,Food and live animals
0,40,203,372037839,0.2747,Food and live animals
0,40,208,75385787,0.8454,Food and live animals
0,40,233,1435124,0.7949,Food and live animals
0,40,246,4818200,0.6261,Food and live animals
0,40,251,389151031,0.8446,Food and live animals
0,40,276,5223110508,0.1487,Food and live animals
0,40,300,77503955,0.6579,Food and live animals
0,40,348,842644707,0.1641,Food and live animals
0,40,372,29357160,0.9145,Food and live animals
0,40,381,1384222337,0.2749,Food and live animals
0,40,428,3575794,0.9077,Food and live animals
0,40,440,21750536,0.8278,Food and live animals
0,40,442,20801584,0.9294,Food and live animals
0,40,528,949995827,0.8172,Food and live animals
0,40,616,291553354,0.7185,Food and live animals
0,40,620,12480252,0.906,Food and live animals
0,40,642,97970235,0.4696,Food and live animals
0,40,703,315952758,0.29,Food and live animals
0,40,705,136563921,0.0066,Food and live animals
0,40,724,361331398,0.8543,Food and live animals
0,40,752,18665751,0.7515,Food and live animals
0,40,826,99280724,0.8764,Food and live animals
0,56,40,117309707,0.913,Food and live animals
0,56,100,141235014,0.5966,Food and live animals
0,56,191,6499102,0.355,Food and live animals
0,56,196,7003750,0.0143,Food and live animals
0,56,203,103664128,0.2256,Food and live animals
0,56,208,193234594,0.4444,Food and live animals
0,56,233,11813433,0.19,Food and live animals
0,56,246,27027717,0.0328,Food and live animals
0,56,251,6777926144,0.0026,Food and live animals
0,56,276,3498642072,0.0572,Food and live animals
0,56,300,69852723,0.2367,Food and live animals
0,56,348,141834747,0.5105,Food and live animals
0,56,372,312136752,0.4546,Food and live animals
0,56,381,1220523871,0.2763,Food and live animals
0,56,428,48879998,0.3944,Food and live animals
0,56,440,105263686,0.2626,Food and live animals
0,56,442,205009370,0.0,Food and live animals
0,56,470,418000,0.2379,Food and live animals
0,56,528,9119195264,0.0032,Food and live animals
0,56,616,485284836,0.2627,Food and live animals
0,56,620,168838269,0.3307,Food and live animals
0,56,642,257658780,0.4629,Food and live animals
0,56,703,38079261,0.6269,Food and live animals
0,56,705,4606398,0.6045,Food and live animals
0,56,724,1159722154,0.3018,Food and live animals
0,56,752,153806367,0.2813,Food and live animals
0,56,826,810370606,0.1079,Food and live animals
0,100,40,58299314,0.5904,Food and live animals
0,100,56,57150236,0.5966,Food and live animals
0,100,191,20457942,0.5702,Food and live animals
0,100,196,1079145,0.0586,Food and live animals
0,100,203,74181111,0.8306,Food and live animals
0,100,208,28242724,0.9746,Food and live animals
0,100,233,2536063,0.9757,Food and live animals
0,100,246,1886000,0.8934,Food and live animals
0,100,251,152819124,0.8883,Food and live animals
0,100,276,321889376,0.8873,Food and live animals
0,100,300,272699499,0.0479,Food and live animals
0,100,348,124745705,0.8542,Food and live animals
0,100,372,14256910,0.9766,Food and live animals
0,100,381,171236839,0.8401,Food and live animals
0,100,428,9977658,0.9535,Food and live animals
0,100,440,12049385,0.9008,Food and live animals
0,100,442,1018194,0.9917,Food and live animals
0,100,528,166815212,0.881,Food and live animals
0,100,616,292822683,0.8421,Food and live animals
0,100,620,4586473,0.7126,Food and live animals
0,100,642,389546019,0.1211,Food and live animals
0,100,703,33541002,0.9173,Food and live animals
0,100,705,13237228,0.9282,Food and live animals
0,100,724,161291741,0.6161,Food and live animals
0,100,752,7973270,0.8567,Food and live animals
0,100,826,72997350,0.9341,Food and live animals
0,191,40,158549082,0.0282,Food and live animals
0,191,56,48292639,0.355,Food and live animals
0,191,100,26433612,0.5702,Food and live animals
0,191,196,986930,0.9651,Food and live animals
0,191,203,65136019,0.8587,Food and live animals
0,191,208,21045998,0.9979,Food and live animals
0,191,233,886754,0.9941,Food and live animals
0,191,246,231285,0.9989,Food and live animals
0,191,251,87161832,0.9925,Food and live animals
0,191,276,440373053,0.9465,Food and live animals
0,191,300,12774922,0.944,Food and live animals
0,191,348,255774001,0.6482,Food and live animals
0,191,372,1379614,0.9941,Food and live animals
0,191,381,333688681,0.7691,Food and live animals
0,191,428,924921,0.9906,Food and live animals
0,191,440,11450842,0.9921,Food and live animals
0,191,442,1621923,0.9933,Food and live animals
0,191,528,208530068,0.9956,Food and live animals
0,191,616,159141335,0.9601,Food and live animals
0,191,620,2084428,0.9955,Food and live animals
0,191,642,65171596,0.9301,Food and live animals
0,191,703,20827127,0.8759,Food and live animals
0,191,705,283735126,0.0102,Food and live animals
0,191,724,117806915,0.9808,Food and live animals
0,191,752,8778463,0.9663,Food and live animals
0,191,826,27614742,0.993,Food and live animals
0,196,40,9911258,0.4623,Food and live animals
0,196,56,51108237,0.0143,Food and live animals
0,196,100,35031614,0.0586,Food and live animals
0,196,191,463008,0.9651,Food and live animals
0,196,203,8189548,0.9949,Food and live animals
0,196,208,20396401,0.9853,Food and live animals
0,196,233,531218,0.9927,Food and live animals
0,196,246,3769794,0.9512,Food and live animals
0,196,251,82335312,0.9982,Food and live animals
0,196,276,95836977,0.9895,Food and live animals
0,196,300,273617386,0.7794,Food and live animals
0,196,348,14717001,0.999,Food and live animals
0,196,372,5981806,0.9958,Food and live animals
0,196,381,68591719,0.9936,Food and live animals
0,196,428,3437419,0.9967,Food and live animals
0,196,440,3894609,0.9902,Food and live animals
0,196,442,582234,0.9929,Food and live animals
0,196,470,205000,0.8986,Food and live animals
0,196,528,116509114,0.9983,Food and live animals
0,196,616,27662003,0.9926,Food and live animals
0,196,620,4875420,0.999,Food and live animals
0,196,642,32112044,0.9946,Food and live animals
0,196,703,7881677,0.9961,Food and live animals
0,196,705,3159507,0.997,Food and live animals
0,196,724,68957110,0.9949,Food and live animals
0,196,752,9019517,0.9186,Food and live animals
0,196,826,101531123,0.9374,Food and live animals
0,203,40,300734807,0.2747,Food and live animals
0,203,56,345246168,0.2256,Food and live animals
0,203,100,44128434,0.8306,Food and live animals
0,203,191,36249706,0.8587,Food and live animals
0,203,196,1211872,0.9949,Food and live animals
0,203,208,60443738,0.9242,Food and live animals
0,203,233,1793514,0.8535,Food and live animals
0,203,246,8019602,0.6397,Food and live animals
0,203,251,336067086,0.8958,Food and live animals
0,203,276,1986351987,0.5119,Food and live animals
0,203,300,50913959,0.8029,Food and live animals
0,203,348,387830259,0.2358,Food and live animals
0,203,372,65443660,0.9803,Food and live animals
0,203,381,484769635,0.804,Food and live animals
0,203,428,33686442,0.7466,Food and live animals
0,203,440,36268669,0.653,Food and live animals
0,203,442,3544216,0.986,Food and live animals
0,203,528,660533208,0.9122,Food and live animals
0,203,616,1243911840,0.3409,Food and live animals
0,203,620,14513382,0.9448,Food and live animals
0,203,642,55613471,0.5052,Food and live animals
0,203,703,644803961,0.0,Food and live animals
0,203,705,13856719,0.5406,Food and live animals
0,203,724,499991953,0.9145,Food and live animals
0,203,752,105485879,0.854,Food and live animals
0,203,826,159238780,0.8841,Food and live animals
0,208,40,79588400,0.8454,Food and live animals
0,208,56,379456524,0.4444,Food and live animals
0,208,100,12236025,0.9746,Food and live animals
0,208,191,1007669,0.9979,Food and live animals
0,208,196,7054349,0.9853,Food and live animals
0,208,203,37411169,0.9242,Food and live animals
0,208,233,33233937,0.1799,Food and live animals
0,208,246,74219875,0.0025,Food and live animals
0,208,251,507442930,0.7044,Food and live animals
0,208,276,2720862586,0.1834,Food and live animals
0,208,300,63853094,0.3104,Food and live animals
0,208,348,38822664,0.85,Food and live animals
0,208,372,150336435,0.634,Food and live animals
0,208,381,620847009,0.4596,Food and live animals
0,208,428,60553060,0.3645,Food and live animals
0,208,440,75623835,0.4728,Food and live animals
0,208,442,3321234,0.8533,Food and live animals
0,208,528,1487589009,0.6396,Food and live animals
0,208,616,522713231,0.1838,Food and live animals
0,208,620,30979516,0.688,Food and live animals
0,208,642,19355541,0.6713,Food and live animals
0,208,703,7008725,0.8698,Food and live animals
0,208,705,9287118,0.8629,Food and live animals
0,208,724,440877912,0.5422,Food and live animals
0,208,752,931153815,0.0068,Food and live animals
0,208,826,453412774,0.362,Food and live animals
0,233,40,9268617,0.7949,Food and live animals
0,233,56,65231562,0.19,Food and live animals
0,233,100,996056,0.9757,Food and live animals
0,233,191,241476,0.9941,Food and live animals
0,233,196,296642,0.9927,Food and live animals
0,233,203,6402152,0.8535,Food and live animals
0,233,208,67306449,0.1799,Food and live animals
0,233,246,162119881,0.0129,Food and live animals
0,233,251,48641509,0.994,Food and live animals
0,233,276,140801758,0.9824,Food and live animals
0,233,300,9013756,0.9727,Food and live animals
0,233,348,17130834,0.9919,Food and live animals
0,233,372,2942426,0.9991,Food and live animals
0,233,381,57125490,0.9812,Food and live animals
0,233,428,277797022,0.0308,Food and live animals
0,233,440,222269432,0.1975,Food and live animals
0,233,442,189747,0.9993,Food and live animals
0,233,528,122814064,0.9669,Food and live animals
0,233,616,150431585,0.9679,Food and live animals
0,233,620,4812249,0.9915,Food and live animals
0,233,642,1667746,0.988,Food and live animals
0,233,703,7560646,0.996,Food and live animals
0,233,705,611105,0.9853,Food and live animals
0,233,724,88208060,0.9845,Food and live animals
0,233,752,74812095,0.7902,Food and live animals
0,233,826,33163840,0.9958,Food and live animals
0,246,40,30991747,0.6261,Food and live animals
0,246,56,213815788,0.0328,Food and live animals
0,246,100,7507965,0.8934,Food and live animals
0,246,191,73864,0.9989,Food and live animals
0,246,196,3336002,0.9512,Food and live animals
0,246,203,29577756,0.6397,Food and live animals
0,246,208,356833063,0.0025,Food and live animals
0,246,233,267576531,0.0129,Food and live animals
0,246,251,187090294,0.937,Food and live animals
0,246,276,852657864,0.9636,Food and live animals
0,246,300,23396673,0.9888,Food and live animals
0,246,348,27159291,0.9827,Food and live animals
0,246,372,13757111,0.9621,Food and live animals
0,246,381,167490974,0.9827,Food and live animals
0,246,428,27186001,0.6103,Food and live animals
0,246,440,49277904,0.5894,Food and live animals
0,246,442,3841612,0.9989,Food and live animals
0,246,528,563127916,0.9637,Food and live animals
0,246,616,126024495,0.9021,Food and live animals
0,246,620,13819269,0.9964,Food and live animals
0,246,642,2923876,0.983,Food and live animals
0,246,703,20933505,0.9871,Food and live animals
0,246,705,2650147,0.9728,Food and live animals
0,246,724,204059644,0.9852,Food and live animals
0,246,752,687760064,0.4233,Food and live animals
0,246,826,144788977,0.965,Food and live animals
0,251,40,272915975,0.8446,Food and live animals
0,251,56,8615393253,0.0026,Food and live animals
0,251,100,191449052,0.8883,Food and live animals
0,251,191,12217820,0.9925,Food and live animals
0,251,196,2985785,0.9982,Food and live animals
0,251,203,177908821,0.8958,Food and live animals
0,251,208,564170397,0.7044,Food and live animals
0,251,233,9767564,0.994,Food and live animals
0,251,246,105409251,0.937,Food and live animals
0,251,276,6356235424,0.0362,Food and live animals
0,251,300,200865210,0.0327,Food and live animals
0,251,348,310306525,0.3848,Food and live animals
0,251,372,944867571,0.2179,Food and live animals
0,251,381,4686775961,0.0025,Food and live animals
0,251,428,9069028,0.1348,Food and live animals
0,251,440,87537851,0.3066,Food and live animals
0,251,442,194297589,0.0008,Food and live animals
0,251,470,356000,0.0544,Food and live animals
0,251,528,6451695968,0.0912,Food and live animals
0,251,616,1360197096,0.3304,Food and live animals
0,251,620,604978412,0.0116,Food and live animals
0,251,642,291146535,0.3021,Food and live animals
0,251,703,26517612,0.6626,Food and live animals
0,251,705,12029793,0.5789,Food and live animals
0,251,724,7658298362,0.0011,Food and live animals
0,251,752,838651764,0.1901,Food and live animals
0,251,826,2977760755,0.0175,Food and live animals
0,276,40,4153001302,0.1487,Food and live animals
0,276,56,6123566361,0.0572,Food and live animals
0,276,100,269649198,0.8873,Food and live animals
0,276,191,124251756,0.9465,Food and live animals
0,276,196,23780667,0.9895,Food and live animals
0,276,203,1494115715,0.5119,Food and live animals
0,276,208,3711552298,0.1834,Food and live animals
0,276,233,40141794,0.9824,Food and live animals
0,276,246,83716288,0.9636,Food and live animals
0,276,251,7041598477,0.0362,Food and live animals
0,276,300,772930639,0.0051,Food and live animals
