sex,age,unit,isced11,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
F,Y25-64,PC,ED3-8,AT	73.8 	75.3 	76.1 	77.3 	77.6 	78.2 	78.6 	79.8 b	80.7 	80.8 	81.7 	81.9 
F,Y25-64,PC,ED3-8,BE	67.8 	69.6 b	70.7 	71.0 	71.9 	72.6 	73.8 	74.7 b	75.8 	75.9 	77.7 b	79.1 
F,Y25-64,PC,ED3-8,BG	77.5 	77.5 	78.0 	79.2 b	80.1 	81.0 	82.0 	81.8 b	82.5 	82.8 	83.3 	83.2 
F,Y25-64,PC,ED3-8,CH	82.3 	83.2 	83.4 	81.8 b	81.8 	83.0 	84.2 	85.6 b	85.8 	85.8 	86.4 	87.4 
F,Y25-64,PC,ED3-8,CY	70.9 	71.5 	71.3 b	73.3 	75.3 	76.4 	78.0 	77.7 b	78.1 	80.2 	81.3 	83.0 
F,Y25-64,PC,ED3-8,CZ	87.2 	87.7 	88.5 	89.1 	89.6 b	90.0 	90.8 	91.2 b	91.3 	91.8 	92.4 	92.6 
F,Y25-64,PC,ED3-8,DE	81.4 	82.5 	82.8 	83.6 b	84.3 	84.4 	84.6 	85.1 b	85.1 	85.1 	85.3 	85.6 
F,Y25-64,PC,ED3-8,DK	73.1 b	72.4 	73.3 	74.7 	76.5 	78.1 	78.8 	80.8 b	81.7 	82.1 b	83.2 b	83.7 
F,Y25-64,PC,ED3-8,EA19	65.7 	66.8 	67.5 	68.3 	69.3 	70.3 	71.5 	72.6 b	73.4 	74.0 	74.7 	75.5 
F,Y25-64,PC,ED3-8,EE	91.1 	90.0 	91.2 	91.9 	91.7 	92.5 	93.4 	92.2 b	91.7 	92.5 	92.3 	92.6 
F,Y25-64,PC,ED3-8,EL	61.1 	62.6 	63.0 b	64.5 	66.3 	67.4 	68.7 	69.9 b	72.1 	73.4 	74.0 	74.4 
F,Y25-64,PC,ED3-8,ES	51.0 	51.7 	52.6 	54.1 	55.5 	56.4 	57.5 	58.4 b	59.6 	60.9 	61.7 	63.0 
F,Y25-64,PC,ED3-8,EU28	69.2 	70.0 	70.8 	71.7 	72.6 	73.7 	74.8 	75.6 b	76.5 	77.0 	77.8 	78.5 
F,Y25-64,PC,ED3-8,FI	82.7 	83.4 	84.4 	85.2 	86.3 	87.4 	88.4 	89.2 b	90.2 	90.5 	91.2 	91.8 
F,Y25-64,PC,ED3-8,FR	66.8 	68.3 	69.1 	69.5 	70.5 	71.6 	74.1 b	75.7 b	76.9 	77.5 	77.8 	79.0 
F,Y25-64,PC,ED3-8,HR	70.6 	72.5 	73.7 	73.1 b	73.9 	76.7 	78.1 	79.5 b	79.9 	80.1 	81.6 	83.3 
F,Y25-64,PC,ED3-8,HU	75.7 	76.4 	77.5 	78.3 	78.7 	79.6 	80.2 	81.1 b	81.6 	81.6 	82.1 	83.3 
F,Y25-64,PC,ED3-8,IE	71.5 b	73.6 	74.6 	76.1 	76.9 	77.8 	79.9 	83.2 b	83.8 	84.4 	85.5 b	86.1 
F,Y25-64,PC,ED3-8,IS	61.3 	61.9 	64.7 	66.1 	68.4 	69.3 	70.3 	72.6 b	75.3 	78.3 	77.5 	79.8 
F,Y25-64,PC,ED3-8,IT	52.9 	54.2 	55.0 	56.0 	57.2 	58.8 	59.7 	61.0 b	61.8 	62.2 	63.0 	63.8 
F,Y25-64,PC,ED3-8,LT	90.1 	91.5 	92.2 	92.8 	93.7 	94.5 	94.7 	94.7 b	95.1 	96.0 	96.3 	96.2 
F,Y25-64,PC,ED3-8,LU	62.4 b	64.3 	74.3 b	74.6 	75.2 	76.3 	79.3 	79.8 b	75.6 b	77.3 u	75.6 u	78.4 
F,Y25-64,PC,ED3-8,LV	87.8 	88.9 	90.1 	91.7 	91.2 	92.2 	92.5 	92.7 b	93.2 	93.0 	93.0 	93.3 
F,Y25-64,PC,ED3-8,ME	: 	: 	: 	: 	79.3 	80.3 	81.7 	82.8 b	82.3 	82.8 	83.9 	84.9 
F,Y25-64,PC,ED3-8,MK	53.4 	51.9 	54.1 	55.1 	56.9 	57.8 	59.4 	59.7 b	60.4 	62.3 	63.1 	63.8 
F,Y25-64,PC,ED3-8,MT	22.3 	24.2 	27.8 	30.1 	33.9 b	36.4 	40.4 	43.7 b	46.4 	49.1 	51.2 	53.2 
F,Y25-64,PC,ED3-8,NL	69.1 	69.4 	70.0 	70.8 	71.0 b	72.1 	74.4 b	74.7 b	75.5 	76.4 	78.0 	78.7 
F,Y25-64,PC,ED3-8,NO	78.0 	79.6 	80.1 	80.5 	81.4 	82.2 	82.8 	83.3 b	83.1 	82.8 	83.0 	83.8 
F,Y25-64,PC,ED3-8,PL	85.7 	86.6 	87.6 	88.3 b	88.7 	89.5 	90.1 	90.6 b	91.0 	91.5 	92.2 	92.7 
F,Y25-64,PC,ED3-8,PT	29.8 	30.6 	32.3 	34.9 	37.6 b	40.7 	43.8 	47.5 b	48.6 	50.5 	52.2 	54.4 
F,Y25-64,PC,ED3-8,RO	70.0 	70.7 	70.3 	69.4 b	70.3 	71.5 	72.1 	70.0 b	72.4 	74.5 	76.1 	76.8 
F,Y25-64,PC,ED3-8,RS	: 	: 	: 	70.2 	70.5 	72.0 	73.2 	76.0 b	77.2 	77.6 	77.9 	79.0 
F,Y25-64,PC,ED3-8,SE	79.2 	79.8 	80.6 	81.2 	81.8 	82.9 	83.9 	84.7 b	85.5 	85.8 	86.2 	86.8 
F,Y25-64,PC,ED3-8,SI	79.5 	80.0 	81.2 	81.4 	82.5 	83.7 	84.7 	84.2 b	85.5 	86.0 	86.9 	87.4 
F,Y25-64,PC,ED3-8,SK	86.5 	87.2 	88.7 	89.1 	89.3 b	90.0 	90.1 	89.6 b	90.0 	90.6 	90.2 	90.7 
F,Y25-64,PC,ED3-8,TR	20.2 	21.1 	22.1 	22.0 	23.0 	24.5 	25.7 	26.4 b	27.9 	29.6 	30.7 	31.8 
