country_code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AT,203850.6,213606.5,220525.1,226735.2,231862.5,242348.3,254075.0,267824.5,283978.0,293761.9,288044.0,295896.6,310128.7,318653.0,323910.2,333146.1,344258.5,356237.6,369899.2
BE,244226.0,258222.0,265788.4,275065.1,282636.5,298710.8,311480.8,326662.1,344712.5,354065.9,348781.1,365100.5,379106.3,387500.1,392339.8,400086.6,411010.2,424660.3,439051.9
BG,12714.8,14305.8,15784.3,17343.6,18654.0,20932.0,23852.7,27210.9,32449.1,37200.1,37317.7,38230.5,41292.0,41947.2,41858.1,42824.4,45288.5,48128.6,51663.0
CY,9839.7,10804.6,11602.9,12083.0,12871.3,13938.0,15039.3,16263.8,17591.0,19006.2,18673.5,19299.5,19731.0,19489.7,18140.5,17610.0,17746.0,18490.2,19648.7
CZ,60796.5,66838.8,75387.7,87055.1,88249.1,96028.5,109627.7,123943.2,138302.9,161313.1,148682.0,156718.2,164040.5,161434.3,157741.6,156660.0,168473.3,176370.1,191721.8
DE,2064880.0,2116480.0,2179850.0,2209290.0,2220080.0,2270620.0,2300860.0,2393250.0,2513230.0,2561740.0,2460280.0,2580060.0,2703120.0,2758260.0,2826240.0,2938590.0,3048860.0,3159750.0,3277340.0
DK,166972.1,178018.2,184045.6,189794.9,193353.4,202422.2,212832.3,225531.2,233383.2,241613.5,231278.1,243165.4,247879.9,254578.0,258742.7,265757.0,273017.5,282089.9,292806.0
EE,5378.7,6170.8,6976.4,7773.8,8708.9,9707.7,11262.3,13521.7,16246.4,16517.3,14145.9,14716.5,16667.6,17934.9,18932.3,20061.2,20652.0,21682.6,23615.1
EL,139945.1,142976.0,152193.8,163460.8,178904.8,193715.8,199242.3,217861.6,232694.6,241990.4,237534.2,226031.4,207028.9,191203.9,180654.3,178656.5,177258.4,176487.9,180217.6
ES,594316.0,646250.0,699528.0,749288.0,803472.0,861420.0,930566.0,1007974.0,1080807.0,1116225.0,1079052.0,1080935.0,1070449.0,1039815.0,1025693.0,1037820.0,1081165.0,1118743.0,1166319.0
FI,126923.0,136261.0,144437.0,148289.0,151569.0,158477.0,164387.0,172614.0,186584.0,193711.0,181029.0,187100.0,196869.0,199793.0,203338.0,205474.0,209952.0,216073.0,223892.0
FR,1400999.0,1478585.0,1538200.0,1587829.0,1630666.0,1704019.0,1765905.0,1848151.0,1941360.0,1992380.0,1936422.0,1995289.0,2058369.0,2088804.0,2117189.0,2149765.0,2198432.0,2228568.0,2291697.0
HR,21955.7,23582.0,25965.1,28531.0,30710.8,33423.3,36452.7,40158.7,43946.8,48138.8,45145.4,45155.5,44825.5,43982.7,43779.2,43431.0,44605.9,46639.5,48989.5
HU,46131.1,51338.5,60092.5,71870.7,75463.0,83839.6,90948.9,91792.0,102169.1,108121.5,94262.5,98826.0,101317.0,99502.4,101890.5,105547.0,110898.7,113903.8,124050.3
IE,92632.4,108380.4,121958.6,135959.2,145555.8,156143.8,170187.0,184993.7,197202.0,187769.1,170100.5,167721.2,171140.2,175216.2,179922.4,195292.8,262466.2,273238.2,294110.1
IT,1171901.4,1239266.3,1298890.2,1345794.2,1390709.6,1448362.7,1489725.5,1548473.4,1609550.8,1632150.8,1572878.3,1604514.5,1637462.9,1613265.0,1604599.1,1621827.2,1652085.4,1689824.0,1727381.5
LT,10293.5,12491.3,13681.4,15173.0,16668.7,18237.4,21002.4,24079.2,29040.7,32696.3,26934.8,28027.7,31275.3,33348.5,34959.6,36568.3,37433.9,38849.4,42190.8
LU,20870.6,23079.4,23771.9,25094.7,26187.8,27935.5,30031.0,33808.4,37178.9,38128.6,36976.5,40177.8,43164.6,44112.1,46499.6,49824.5,51578.9,53303.0,55299.4
LV,7046.2,8609.5,9360.8,10157.5,10478.6,11673.3,13726.2,17264.1,22679.3,24354.8,18749.3,17788.6,20202.3,22058.4,22828.9,23618.2,24320.3,25037.7,27033.1
MT,3835.1,4394.9,4541.1,4737.2,4794.7,4867.2,5142.1,5386.1,5757.5,6128.7,6138.6,6599.5,6834.8,7169.7,7645.9,8503.0,9649.9,10344.1,11313.3
NL,419459.0,452007.0,481881.0,501137.0,512810.0,529286.0,550883.0,584546.0,619170.0,647198.0,624842.0,639187.0,650359.0,652966.0,660463.0,671560.0,690008.0,708337.0,737048.0
PL,159267.4,186376.4,212405.4,210146.2,192274.3,206119.6,246201.3,274602.5,313874.0,366182.3,317082.9,361803.9,380241.7,389376.8,394733.8,411163.2,430254.5,426547.5,467167.0
PT,119639.2,128466.3,135827.5,142631.4,146158.3,152371.6,158652.6,166248.7,175467.7,178872.6,175448.2,179929.8,176166.6,168398.0,170269.3,173079.1,179809.1,186480.5,194613.5
RO,33726.8,40594.9,45143.6,48695.7,51108.5,60402.0,79223.9,97215.6,127632.0,146590.6,125213.9,125408.8,131925.4,133147.1,143801.6,150458.0,160297.8,170393.6,187516.8
SE,254393.8,282246.2,268167.4,280966.2,293819.0,307793.8,313576.8,335282.0,356859.2,352741.6,310008.3,369478.2,405440.1,423808.4,436217.9,433140.1,449194.7,463147.5,475224.2
SI,21207.5,21923.5,23248.1,25050.7,26303.1,27736.7,29235.4,31561.2,35152.6,37951.2,36166.2,36252.4,36896.3,36076.1,36239.2,37603.3,38863.3,40357.2,42999.7
SK,19491.5,22346.8,23871.6,26305.6,30064.5,34702.3,39348.3,45530.2,56241.6,66002.8,64023.1,67577.3,70627.2,72703.5,74169.9,76087.8,79138.2,81226.1,84850.9
UK,1565349.0,1787328.5,1816204.4,1881201.6,1809053.6,1934479.7,2030934.5,2150267.7,2252450.5,1983970.5,1725383.3,1850538.6,1894900.2,2089628.4,2073978.5,2287866.6,2611924.1,2403382.6,2337971.0
