country_code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AT,25500.0,26700.0,27400.0,28100.0,28600.0,29700.0,30900.0,32400.0,34200.0,35300.0,34500.0,35400.0,37000.0,37800.0,38200.0,39000.0,39900.0,40800.0,42100.0
BE,23900.0,25200.0,25800.0,26600.0,27200.0,28700.0,29700.0,31000.0,32400.0,33100.0,32300.0,33500.0,34500.0,35000.0,35300.0,35800.0,36600.0,37600.0,38700.0
BG,1500.0,1800.0,2000.0,2200.0,2400.0,2700.0,3100.0,3500.0,4200.0,4900.0,4900.0,5100.0,5600.0,5700.0,5800.0,5900.0,6300.0,6800.0,7300.0
CY,14300.0,15600.0,16500.0,17000.0,17900.0,19100.0,20400.0,21700.0,22900.0,24200.0,23100.0,23300.0,23200.0,22600.0,21000.0,20700.0,20900.0,21700.0,22900.0
CZ,5900.0,6500.0,7400.0,8500.0,8700.0,9400.0,10700.0,12100.0,13400.0,15500.0,14200.0,14900.0,15600.0,15400.0,15000.0,14900.0,16000.0,16700.0,18100.0
DE,25400.0,26000.0,26700.0,27100.0,27200.0,27900.0,28300.0,29500.0,31000.0,31700.0,30600.0,32100.0,33700.0,34300.0,35000.0,36300.0,37300.0,38400.0,39600.0
DK,31400.0,33300.0,34400.0,35300.0,35900.0,37500.0,39300.0,41500.0,42700.0,44000.0,41900.0,43800.0,44500.0,45500.0,46100.0,47100.0,48000.0,49200.0,50800.0
EE,3900.0,4400.0,5000.0,5600.0,6300.0,7100.0,8300.0,10000.0,12100.0,12300.0,10600.0,11000.0,12500.0,13500.0,14300.0,15200.0,15700.0,16500.0,18000.0
EL,13000.0,13200.0,14000.0,15000.0,16400.0,17700.0,18100.0,19800.0,21100.0,21800.0,21400.0,20300.0,18600.0,17300.0,16500.0,16400.0,16400.0,16400.0,16800.0
ES,14700.0,15900.0,17200.0,18100.0,19000.0,20100.0,21300.0,22700.0,23900.0,24300.0,23300.0,23200.0,22900.0,22200.0,22000.0,22300.0,23300.0,24100.0,25100.0
FI,24600.0,26300.0,27800.0,28500.0,29100.0,30300.0,31300.0,32800.0,35300.0,36500.0,33900.0,34900.0,36500.0,36900.0,37400.0,37600.0,38300.0,39300.0,40600.0
FR,23200.0,24300.0,25100.0,25700.0,26200.0,27200.0,28000.0,29100.0,30300.0,31000.0,29900.0,30700.0,31500.0,31800.0,32100.0,32400.0,33000.0,33400.0,34300.0
HR,5000.0,5500.0,6000.0,6600.0,7100.0,7800.0,8500.0,9300.0,10200.0,11200.0,10500.0,10500.0,10500.0,10300.0,10300.0,10300.0,10600.0,11200.0,11900.0
HU,4500.0,5000.0,5900.0,7100.0,7400.0,8300.0,9000.0,9100.0,10200.0,10800.0,9400.0,9900.0,10200.0,10000.0,10300.0,10700.0,11300.0,11600.0,12700.0
IE,24700.0,28500.0,31600.0,34600.0,36400.0,38400.0,40900.0,43300.0,44800.0,41800.0,37500.0,36800.0,37400.0,38100.0,38900.0,42000.0,55900.0,57500.0,61200.0
IT,20600.0,21800.0,22800.0,23600.0,24200.0,25000.0,25600.0,26500.0,27400.0,27600.0,26400.0,26800.0,27300.0,26700.0,26500.0,26700.0,27200.0,27900.0,28500.0
LT,2900.0,3600.0,3900.0,4400.0,4900.0,5400.0,6300.0,7400.0,9000.0,10200.0,8500.0,9000.0,10300.0,11200.0,11800.0,12500.0,12900.0,13500.0,14900.0
LU,48400.0,52800.0,53800.0,56200.0,57900.0,60900.0,64500.0,71500.0,77300.0,77900.0,74200.0,79200.0,83100.0,83000.0,85300.0,89200.0,90600.0,91300.0,92600.0
LV,2900.0,3600.0,4000.0,4400.0,4600.0,5200.0,6100.0,7800.0,10300.0,11200.0,8800.0,8500.0,9800.0,10800.0,11300.0,11800.0,12300.0,12800.0,13900.0
MT,9900.0,11300.0,11600.0,12000.0,12000.0,12100.0,12700.0,13300.0,14200.0,15000.0,14900.0,15900.0,16400.0,17100.0,17900.0,19600.0,21700.0,22700.0,24100.0
NL,26500.0,28400.0,30000.0,31000.0,31600.0,32500.0,33800.0,35800.0,37800.0,39400.0,37800.0,38500.0,39000.0,39000.0,39300.0,39800.0,40700.0,41600.0,43000.0
PL,4200.0,4900.0,5600.0,5500.0,5000.0,5400.0,6500.0,7200.0,8200.0,9600.0,8200.0,9400.0,9900.0,10100.0,10300.0,10700.0,11200.0,11100.0,12200.0
PT,11700.0,12500.0,13100.0,13700.0,14000.0,14500.0,15100.0,15800.0,16600.0,16900.0,16600.0,17000.0,16700.0,16000.0,16300.0,16600.0,17400.0,18100.0,18900.0
RO,,,,2200.0,2400.0,2800.0,3700.0,4600.0,6100.0,7100.0,6100.0,6200.0,6500.0,6600.0,7200.0,7600.0,8100.0,8600.0,9600.0
SE,28700.0,31800.0,30100.0,31500.0,32800.0,34200.0,34700.0,36900.0,39000.0,38300.0,33300.0,39400.0,42900.0,44500.0,45400.0,44700.0,45800.0,46700.0,47200.0
SI,10700.0,11000.0,11700.0,12600.0,13200.0,13900.0,14600.0,15700.0,17400.0,18800.0,17700.0,17700.0,18000.0,17500.0,17600.0,18200.0,18800.0,19500.0,20800.0
SK,3600.0,4100.0,4400.0,4900.0,5600.0,6400.0,7300.0,8400.0,10400.0,12200.0,11800.0,12400.0,13100.0,13400.0,13700.0,14000.0,14600.0,15000.0,15600.0
UK,26700.0,30400.0,30700.0,31700.0,30300.0,32300.0,33600.0,35400.0,36700.0,32100.0,27700.0,29500.0,29900.0,32800.0,32400.0,35400.0,40100.0,36600.0,35400.0
