,year,from,to,money,rca
0,1999,DK,1,153556823,1.967781772400617
1,1999,DK,2,2892984133,8.255361301577402
2,1999,DK,3,1629571712,5.266055264239949
3,1999,DK,4,1405017769,5.484006429305529
4,1999,DK,5,99484630,3.3836534820281585
5,1999,DK,6,449511777,5.589806411917208
6,1999,DK,7,81879844,0.43704454042358265
7,1999,DK,8,32550613,0.12800039009301473
8,1999,DK,9,53902498,0.41330520270936205
9,1999,DK,10,236555773,0.8230803510689212
10,1999,DK,11,52065003,1.10572729619291
11,1999,DK,12,172616133,1.0355197439354276
12,1999,DK,13,12065393,0.649789469282692
13,1999,DK,14,306982,0.106896146476969
14,1999,DK,15,251467817,1.1289120587279642
15,1999,DK,16,904532345,8.163536694078585
16,1999,DK,17,226474620,1.9345556049283947
17,1999,DK,18,83215820,0.7805647703360408
18,1999,DK,19,434218662,2.9177276417814832
19,1999,DK,20,154514782,0.8495757392283025
20,1999,DK,21,498456711,3.3425116647105035
21,1999,DK,22,300174646,0.9113676893786271
22,1999,DK,23,586140027,3.5343715208379787
23,1999,DK,24,173656599,0.8961433358549534
24,1999,DK,25,154206224,1.0848936923810313
25,1999,DK,26,2613636,0.014684343138974298
26,1999,DK,27,1846711888,0.8234556336146704
27,1999,DK,28,46037879,0.1432258087028514
28,1999,DK,29,531714146,0.4396752386346085
29,1999,DK,30,2509896527,3.0082519201718894
30,1999,DK,31,79929231,0.5891246731165809
31,1999,DK,32,435317712,1.3654695531250998
32,1999,DK,33,147371688,0.5271173088360473
33,1999,DK,34,300034096,1.859404418427034
34,1999,DK,35,576800194,6.586236055126543
35,1999,DK,36,6441036,0.4890757687155713
36,1999,DK,37,38812624,0.23634331640977385
37,1999,DK,38,285290736,0.5721395583516738
38,1999,DK,39,1483154466,0.9398603374232039
39,1999,DK,40,165401568,0.34080164102181754
40,1999,DK,41,82364461,0.5164163995270019
41,1999,DK,42,77151652,0.39898189938326983
42,1999,DK,43,340087420,11.312383263497827
43,1999,DK,44,807140289,1.360962408171439
44,1999,DK,45,379089,0.029324731102536347
45,1999,DK,46,2623789,0.29156562415556914
46,1999,DK,47,23718080,0.1548459541010992
47,1999,DK,48,595126308,0.6676760458182367
48,1999,DK,49,314818460,1.383777076464514
49,1999,DK,50,571379,0.02922516881755848
50,1999,DK,51,42406834,0.42017271870444484
51,1999,DK,52,75323062,0.277233030076022
52,1999,DK,53,6630595,0.28108613298805485
53,1999,DK,54,159455656,0.5920534989238974
54,1999,DK,55,80035715,0.3861645698407494
55,1999,DK,56,125784808,1.4585799081186375
56,1999,DK,57,129421721,1.8087368081556456
57,1999,DK,58,17601136,0.27113075778840057
58,1999,DK,59,34633090,0.2992660759606312
59,1999,DK,60,121547214,0.9125580039342891
60,1999,DK,61,946228421,1.4092399158588773
61,1999,DK,62,869110267,1.0270112995918226
62,1999,DK,63,155453317,1.0481891960812977
63,1999,DK,64,314150387,0.7850462805848171
64,1999,DK,65,6713533,0.2813838565144592
65,1999,DK,66,3272652,0.2521991636961276
66,1999,DK,67,6444149,0.30223596364568184
67,1999,DK,68,238018323,1.5487733913800183
68,1999,DK,69,136784353,0.7527978213258976
