"indic_em,age,unit,sex,geo\time",1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,TARGET ,gender,from
"EMP_LFS,Y20-64,PC_POP,T,AT",: ,: ,70.8 e,70.3 e,70.5 e,70.9 e,71.0,71.4,71.3,71.8,72.0,69.5,70.4,71.6,72.8,73.8,73.4,73.9,74.2,74.4,74.6,74.2,74.3,74.8,75.4,76.2 ,77 ,T,AT
"EMP_LFS,Y20-64,PC_POP,T,BE",61.2 e,61.0 e,61.4 e,61.7 e,62.4 e,63.1 e,64.5,65.8,65.0,65.0,64.7,65.6,66.5,66.5,67.7,68.0,67.1,67.6,67.3,67.2,67.2,67.3,67.2,67.7,68.5,69.7 ,73.2 ,T,BE
"EMP_LFS,Y20-64,PC_POP,T,BG",: ,: ,: ,: ,: ,: ,,55.3,54.8,55.8,58.0,60.1,61.9,65.1,68.4,70.7,68.8,64.7,62.9,63.0,63.5,65.1,67.1,67.7,71.3,72.4 ,76 ,T,BG
"EMP_LFS,Y20-64,PC_POP,T,CY",: ,: ,: ,: ,71.2 e,71.2 e,71.1,72.2,73.9,74.9,75.2,75.1,74.4,75.8,76.8,76.5,75.3,75.0,73.4,70.2,67.2,67.6,67.9,68.7,70.8,73.9 ,75 ,T,CY
"EMP_LFS,Y20-64,PC_POP,T,CZ",: ,: ,: ,: ,: ,73.4 ,71.5,71.0,71.2,71.6,70.7,70.1,70.7,71.2,72.0,72.4,70.9,70.4,70.9,71.5,72.5,73.5,74.8,76.7,78.5,79.9 ,75 ,T,CZ
"EMP_LFS,Y20-64,PC_POP,T,DE",67.6 e,67.4 e,67.5 e,67.1 e,66.8 e,67.1 e,68.1,68.7,68.9,68.7,68.3,68.2,69.4,71.1,72.9,74.0,74.2,75.0,76.5,76.9,77.3,77.7,78.0,78.6,79.2,79.9 ,77 ,T,DE
"EMP_LFS,Y20-64,PC_POP,T,DK",74.0 e,74.3 e,75.1 e,75.5 e,76.5 e,77.1 e,77.7,78.0,78.3,77.7,77.3,77.6,78.0,79.4,79.0,79.7,77.5,75.8,75.7,75.4,75.6,75.9,76.5,77.4,76.9,78.2 ,80 ,T,DK
"EMP_LFS,Y20-64,PC_POP,T,EE",: ,: ,: ,: ,70.9 e,71.1 e,68.4,66.6,67.4,68.0,69.6,70.3,72.0,75.9,76.9,77.1,70.0,66.8,70.6,72.2,73.3,74.3,76.5,76.6,78.7,79.5 ,76 ,T,EE
"EMP_LFS,Y20-64,PC_POP,T,EL",58.5 e,59.1 e,59.7 e,60.1 e,60.4 e,61.3 b,61.4,61.9,61.5,62.5,63.6,63.9,64.4,65.6,65.8,66.3,65.6,63.8,59.6,55.0,52.9,53.3,54.9,56.2,57.8,59.5 ,70 ,T,EL
"EMP_LFS,Y20-64,PC_POP,T,ES",51.3 e,50.8 e,51.7 e,52.7 ,54.2 ,55.9 ,58.3,60.7,62.1,63.1,64.3,65.4,67.5,69.0,69.7,68.5,64.0,62.8,62.0,59.6,58.6,59.9,62.0,63.9,65.5,67.0 ,74 ,T,ES
"EMP_LFS,Y20-64,PC_POP,T,FI",: ,: ,: ,65.0 e,66.7 e,68.7 ,70.7,71.6,72.6,72.6,72.2,72.2,73.0,73.9,74.8,75.8,73.5,73.0,73.8,74.0,73.3,73.1,72.9,73.4,74.2,76.3 ,78 ,T,FI
"EMP_LFS,Y20-64,PC_POP,T,FR",: ,: ,: ,: ,: ,: ,,,,,,,,,,,,,,,,69.2,69.5,70.0,70.6,71.3 ,75 ,T,FR
"EMP_LFS,Y20-64,PC_POP,T,HR",: ,: ,: ,: ,: ,: ,,,,,58.4,59.5,59.9,60.6,63.9,64.9,64.2,62.1,59.8,58.1,57.2,59.2,60.6,61.4,63.6,65.2 ,62.9 ,T,HR
"EMP_LFS,Y20-64,PC_POP,T,HU",: ,: ,: ,: ,58.0 e,58.8 e,60.6,61.2,61.3,61.4,62.4,62.1,62.2,62.6,62.3,61.5,60.1,59.9,60.4,61.6,63.0,66.7,68.9,71.5,73.3,74.4 ,75 ,T,HU
"EMP_LFS,Y20-64,PC_POP,T,IE",57.5 e,59.2 e,60.9 e,62.0 e,63.4 e,67.6 b,70.2,71.8,72.4,72.1,72.0,72.9,74.0,74.7,75.1,73.5,68.0,65.5,64.6,64.5,66.5,68.1,69.9,71.4,73.0,74.1 ,69 ,T,IE
"EMP_LFS,Y20-64,PC_POP,T,IT",56.6 e,55.7 e,55.1 e,55.1 e,55.2 e,55.7 ,56.4,57.4,58.5,59.4,60.0,61.6,61.5,62.4,62.7,62.9,61.6,61.0,61.0,60.9,59.7,59.9,60.5,61.6,62.3,63.0 ,67 ,T,IT
"EMP_LFS,Y20-64,PC_POP,T,LT",: ,: ,: ,: ,68.2 e,68.3 e,67.7,65.5,64.2,67.2,68.9,69.3,70.7,71.3,72.7,72.0,67.0,64.3,66.9,68.5,69.9,71.8,73.3,75.2,76.0,77.8 ,72.8 ,T,LT
"EMP_LFS,Y20-64,PC_POP,T,LU",64.4 e,63.7 e,63.1 e,63.7 e,64.7 e,65.2 e,66.1,67.0,67.5,67.8,67.2,67.7,69.0,69.1,69.6,68.8,70.4,70.7,70.1,71.4,71.1,72.1,70.9,70.7,71.5,72.1 ,73 ,T,LU
"EMP_LFS,Y20-64,PC_POP,T,LV",: ,: ,: ,: ,65.5 e,65.3 e,64.5,63.6,64.5,66.5,67.8,67.9,69.1,73.2,75.2,75.4,66.6,64.3,66.3,68.1,69.7,70.7,72.5,73.2,74.8,76.8 ,73 ,T,LV
"EMP_LFS,Y20-64,PC_POP,T,MT",: ,: ,: ,: ,57.5 e,57.5 e,57.5,57.4,57.4,57.7,57.8,57.9,57.4,57.9,58.6,59.2,59.0,60.1,61.6,63.9,66.2,67.9,69.0,71.1,73.0,75.0 ,70 ,T,MT
"EMP_LFS,Y20-64,PC_POP,T,NL",66.2 e,66.5 e,67.0 e,68.3 e,70.2 e,71.7 e,73.0,74.3,75.4,75.8,75.2,74.9,72.7,73.7,75.5,76.9,76.8,76.2,76.4,76.6,75.9,75.4,76.4,77.1,78.0,79.2 ,80 ,T,NL
"EMP_LFS,Y20-64,PC_POP,T,PL",: ,: ,: ,: ,: ,65.2 e,63.0,61.0,59.4,57.4,57.1,57.3,58.3,60.1,62.7,65.0,64.9,64.3,64.5,64.7,64.9,66.5,67.8,69.3,70.9,72.2 ,71 ,T,PL
"EMP_LFS,Y20-64,PC_POP,T,PT",69.7 e,68.7 e,68.1 e,68.1 e,69.0 ,72.2 b,72.7,73.5,74.0,73.6,72.9,72.5,72.2,72.6,72.5,73.1,71.1,70.3,68.8,66.3,65.4,67.6,69.1,70.6,73.4,75.4 ,75 ,T,PT
"EMP_LFS,Y20-64,PC_POP,T,RO",: ,: ,: ,: ,: ,70.4 e,69.4,69.1,68.3,63.3,63.7,63.5,63.6,64.8,64.4,64.4,63.5,64.8,63.8,64.8,64.7,65.7,66.0,66.3,68.8,69.9 ,70 ,T,RO
"EMP_LFS,Y20-64,PC_POP,T,SE",: ,: ,: ,74.8 e,73.7 e,74.2 e,75.7,76.8,78.7,78.5,77.9,77.4,77.9,78.8,80.1,80.4,78.3,78.1,79.4,79.4,79.8,80.0,80.5,81.2,81.8,82.6 ,80 ,T,SE
"EMP_LFS,Y20-64,PC_POP,T,SI",: ,: ,: ,: ,68.4 e,68.9 e,68.1,68.5,69.4,69.0,68.1,70.4,71.1,71.5,72.4,73.0,71.9,70.3,68.4,68.3,67.2,67.7,69.1,70.1,73.4,75.4 ,75 ,T,SI
"EMP_LFS,Y20-64,PC_POP,T,SK",: ,: ,: ,: ,67.7 e,67.4 ,65.0,63.5,63.5,63.6,64.8,63.7,64.5,66.0,67.2,68.8,66.4,64.6,65.0,65.1,65.0,65.9,67.7,69.8,71.1,72.4 ,72 ,T,SK
"EMP_LFS,Y20-64,PC_POP,T,UK",70.2 e,70.6 e,71.1 e,71.7 e,72.6 e,73.1 e,73.5,74.0,74.4,74.5,74.7,75.0,75.2,75.2,75.2,75.2,73.9,73.5,73.5,74.1,74.8,76.2,76.8,77.5,78.2,78.7 ,: ,T,UK
