"unit,lcstruct,nace_r2,geo\time",2018 ,2017 ,2016 ,2012 ,2008 ,2004 ,2000 ,from,currency,aggr,code
"EUR,D12_D4_MD5,B,AT",11.1 p,10.6,11.2,10.8,8.6,7.6,7.4,AT,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,BE",11.3 ,11.2,11.2,15.7,,,9.0,BE,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,BG",2.2 ,2.0,1.8,1.5,1.2,1.0,0.7,BG,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,CZ",4.6 ,4.2,3.7,4.0,3.5,2.2,1.5,CZ,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,DE",21.5 ,20.7,11.9,13.9,10.8,8.7,8.6,DE,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,DK",6.6 ,,6.4,6.5,5.1,5.0,3.6,DK,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,EE",3.9 ,3.6,3.5,,2.5,1.4,1.1,EE,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,EL",6.9 ,6.7,5.7,5.3,4.2,4.5,3.1,EL,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,ES",8.1 ,9.2,8.8,7.9,6.7,5.8,5.4,ES,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,FI",6.6 ,6.2,6.2,7.1,6.5,6.0,4.9,FI,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,FR",11.5 ,10.9,10.6,11.3,11.3,,6.4,FR,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,HR",2.9 ,3.2,3.2,2.5,2.0,1.3,,HR,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,HU",1.9 ,2.1,2.2,2.4,2.6,2.0,1.6,HU,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,IE",6.1 ,6.9,7.5,5.3,5.2,4.0,2.3,IE,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,IT",12.8 ,12.7,12.6,13.5,12.3,9.5,6.4,IT,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,LT",2.7 ,2.6,2.4,1.8,2.0,1.1,0.9,LT,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,LU",3.2 ,3.2,3.7,3.2,,,3.4,LU,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,LV",2.1 ,1.9,1.7,1.2,1.3,0.6,0.4,LV,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,MT",0.6 ,0.7,0.7,,,,,MT,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,NL",: n,11.9,16.0,11.2,11.9,12.1,7.5,NL,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,PL",4.1 ,4.0,3.4,3.5,3.0,2.0,,PL,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,PT",3.3 ,3.2,3.1,2.6,2.3,1.5,1.5,PT,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,RO",: ,2.7,2.6,2.3,3.1,1.0,,RO,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,SE",16.6 ,17.6,17.4,16.3,11.6,11.0,9.7,SE,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,SI",5.7 ,5.4,5.1,4.4,4.5,3.4,2.4,SI,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,SK",3.6 ,3.3,3.3,2.8,2.1,1.2,1.0,SK,EUR,D12_D4_MD5,B
"EUR,D12_D4_MD5,B,UK",8.9 ,8.2,8.9,8.5,6.7,6.2,7.2,UK,EUR,D12_D4_MD5,B
