nace_r2,sizeclas,indic_lc,currency,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
B,GE10,LC_H,EUR,AT	34.05 	32.77 	32.44 	30.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,BE	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,BG	5.99 	5.57 	4.90 	4.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,CH	: 	38.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,CZ	13.36 	12.45 	11.32 	12.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,DE	39.90 	38.00 	37.70 	35.90 	33.80 	32.80 	32.50 	30.50 	30.70 	30.90 	32.70 	30.80 	29.30 	29.30 	29.37 	29.09 
B,GE10,LC_H,EUR,DK	52.53 	48.53 	41.82 	38.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,EL	: 	: 	20.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,ES	27.02 	26.49 	24.19 	23.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,FI	30.96 	28.71 	29.64 	29.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,FR	36.54 	34.75 	33.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,HR	12.29 p	10.65 p	12.17 p	12.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,HU	8.83 	8.01 	8.51 	8.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,IE	27.88 	26.98 	28.59 	29.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,IT	: 	: 	: 	36.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,LT	6.34 	6.36 	6.95 	7.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,LU	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,LV	6.21 	6.19 	6.17 	6.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,MT	: 	: 	7.59 	6.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,NL	67.96 	58.71 	56.38 	57.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,PL	14.67 	13.33 	12.23 	13.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,PT	13.23 	13.01 	11.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,RO	8.63 	8.34 	10.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,SE	43.41 	39.03 	33.22 	35.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,SI	20.66 p	20.10 p	18.09 p	20.03 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,SK	9.60 	9.17 	8.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,EUR,UK	29.40 	29.14 	27.93 	28.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,AT	34.05 	32.77 	32.44 	30.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,BE	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,BG	11.71 	10.89 	9.59 	8.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,CH	: 	52.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,CZ	328.48 	314.77 	299.17 	305.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,DE	39.90 	38.00 	37.70 	35.90 	33.80 	32.80 	32.50 	30.50 	30.70 	30.90 	32.70 	30.80 	29.30 	29.50 	29.50 	28.40 
B,GE10,LC_H,NAC,DK	391.34 	361.41 	311.38 	289.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,EL	: 	: 	20.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,ES	27.02 	26.49 	24.19 	23.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,FI	30.96 	28.71 	29.64 	29.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,FR	36.54 	34.75 	33.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,HR	89.58 p	77.64 p	89.30 p	89.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,HU	2467.33 	2207.52 	2386.53 	2224.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,IE	27.88 	26.98 	28.59 	29.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
