nace_r1,currency,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
C,EUR,AT	30.93 	30.61 	29.98 	30.73 	29.82 	29.63 	28.36 	27.84 	27.74 	29.77 	32.18 	34.90 	36.54 	: 
C,EUR,BE	: 	: 	: 	: 	: 	29.64 	29.41 	28.03 	26.66 	25.12 	24.32 	23.76 	23.84 	: 
C,EUR,BG	: 	3.77 	3.38 	3.08 	2.95 	2.65 	2.56 	2.39 	2.24 	1.74 e	1.46 e	: 	: 	: 
C,EUR,CH	31.66 	: 	31.58 	: 	31.67 	: 	32.93 	: 	28.84 	: 	: 	: 	: 	: 
C,EUR,CY	17.36 	15.46 	14.83 	13.94 	12.68 	12.55 	11.82 	11.37 	11.38 	10.92 	10.69 	10.28 	9.65 	: 
C,EUR,CZ	: 	9.92 	9.18 	7.94 	7.14 	6.81 	6.75 	5.75 	4.90 	4.30 	4.44 	3.64 	3.56 	3.06 
C,EUR,DE	: 	30.80 	31.40 	31.90 	30.50 	30.70 	30.70 	32.00 	30.80 	28.90 	28.50 	28.70 	27.40 	: 
C,EUR,DK	: 	43.96 	45.48 	40.35 	39.59 	37.80 	37.35 	33.32 	32.88 	33.47 	33.56 	31.68 	: 	: 
C,EUR,EE	9.23 	7.95 	6.62 	5.72 	5.29 	4.96 	4.52 	4.20 	4.00 	3.66 	3.20 	2.79 	2.43 	: 
C,EUR,EL	: 	: 	: 	: 	: 	15.30 	14.37 	13.50 	12.84 	12.46 	11.52 	11.57 	11.00 	10.41 
C,EUR,ES	: 	20.59 	20.37 	19.83 	19.40 	19.04 	18.06 	17.31 	18.58 	18.59 	18.36 	18.54 	19.52 	: 
C,EUR,FI	32.75 	31.42 	29.88 	28.10 	25.99 	25.81 	24.34 	22.64 	21.62 	20.80 	20.14 	20.06 	19.81 	: 
C,EUR,FR	33.43 	31.13 	29.01 	27.53 	26.63 	26.84 	26.61 	26.63 	26.70 	25.69 	25.92 	26.34 	26.86 	: 
C,EUR,HU	: 	7.84 	6.24 	6.92 	6.19 	5.93 	5.69 	5.10 	4.86 	4.22 	3.95 	4.01 	3.63 	: 
C,EUR,IE	: 	: 	26.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,EUR,IT	: 	: 	: 	: 	21.33 	22.45 	21.20 	20.17 	20.91 	20.02 	19.22 	19.72 	18.59 	: 
C,EUR,LT	: 	6.14 	5.16 	4.37 	4.05 	4.10 	3.81 	3.67 	3.22 	2.21 	2.18 	1.77 	1.26 	: 
C,EUR,LU	25.75 	24.99 	24.09 	23.66 	22.93 	22.86 	21.95 	20.94 	20.34 u	22.44 	21.02 	20.96 	21.02 	: 
C,EUR,LV	6.03 	4.94 	3.73 	2.94 	2.66 	2.69 	2.58 	2.34 	2.22 	1.98 	1.65 	1.58 	: 	: 
C,EUR,MT	: 	7.16 	10.12 	7.60 	7.96 	7.06 	7.11 	: 	: 	: 	: 	: 	: 	: 
C,EUR,NL	: 	: 	: 	48.84 	46.97 	43.80 	42.40 	38.95 	36.98 	35.04 	34.10 	32.84 b	34.77 	: 
C,EUR,PL	: 	12.25 	11.12 	10.23 	8.44 	7.81 	8.80 	8.82 	7.36 	6.42 	6.26 	5.69 	5.27 	: 
C,EUR,PT	8.75 	8.42 	7.87 	8.00 	8.00 	7.90 	7.90 	7.80 	7.77 	7.52 	7.21 	7.06 	6.89 	: 
C,EUR,RO	: 	6.82 	5.98 	4.90 	3.35 	3.03 	3.11 	2.81 	2.48 	: 	: 	: 	: 	: 
C,EUR,SE	: 	35.96 	33.58 	32.91 	32.37 	31.94 	30.34 	29.01 	30.38 	29.25 	28.13 	27.77 	26.94 	22.82 
C,EUR,SI	: 	17.19 	16.48 	15.90 	14.81 	13.75 	13.17 	12.40 	11.65 	11.41 	10.81 	10.40 	9.66 	9.48 
C,EUR,SK	: 	6.78 	5.75 	4.94 	4.46 	4.14 	3.83 	3.75 	3.85 	3.10 	3.03 	3.05 	2.60 	: 
C,EUR,UK	: 	35.04 	34.35 	30.13 	31.74 	30.88 	35.34 	33.59 	31.76 	25.20 	23.15 	20.01 	17.66 	: 
C,NAC,AT	30.93 	30.61 	29.98 	30.73 	29.82 	29.63 	28.36 	27.84 	27.74 	29.77 	32.40 	35.06 	35.67 	: 
C,NAC,BE	: 	: 	: 	: 	: 	29.64 	29.41 	28.03 	26.66 	25.12 	24.49 	23.87 	23.23 	: 
C,NAC,BG	: 	7.38 	6.61 	6.02 	5.76 	5.17 	4.99 	4.66 	4.38 	3.41 e	2.88 e	: 	: 	: 
C,NAC,CH	50.25 	: 	49.67 	: 	48.89 	: 	48.31 	: 	44.93 	: 	: 	: 	: 	: 
C,NAC,CY	17.36 	15.39 	14.59 	13.74 	12.61 	12.52 	11.62 	11.19 	11.16 	10.80 	10.58 	10.23 	9.76 	: 
C,NAC,CZ	: 	275.43 	260.29 	236.42 	227.58 	216.75 	207.79 	195.80 	174.51 	158.69 	160.05 	130.87 	122.62 	106.07 
C,NAC,DE	: 	30.80 	31.40 	31.90 	30.50 	30.70 	30.70 	32.00 	30.80 	28.90 	28.69 	28.83 	26.75 	: 
C,NAC,DK	: 	327.50 	339.24 	300.71 	294.54 	280.88 	277.56 	248.32 	245.06 	248.88 	251.69 	237.10 	: 	: 
C,NAC,EE	9.23 	7.95 	6.62 	5.72 	5.29 	4.96 	4.52 	4.20 	4.00 	3.66 	3.22 	2.80 	2.38 	: 
C,NAC,EL	: 	: 	: 	: 	: 	15.30 	14.37 	13.50 	12.68 	11.91 	11.18 	10.50 	9.86 	9.26 
C,NAC,ES	: 	20.59 	20.37 	19.83 	19.40 	19.04 	18.06 	17.31 	18.58 	18.59 	18.45 	18.48 	18.86 	: 
C,NAC,FI	32.75 	31.42 	29.88 	28.10 	25.99 	25.81 	24.34 	22.64 	21.62 	20.80 	20.26 	19.84 	19.42 	: 
C,NAC,FR	33.43 	31.13 	29.01 	27.53 	26.63 	26.84 	26.61 	26.63 	26.70 	25.69 	26.08 	26.55 	26.59 	: 
C,NAC,HU	: 	1971.00 	1649.00 	1717.00 	1559.00 	1505.00 	1382.22 	1307.48 	1264.04 	1067.34 	950.13 	849.66 	702.87 	: 
C,NAC,IE	: 	: 	26.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,NAC,IT	: 	: 	: 	: 	21.33 	22.45 	21.20 	20.17 	20.91 	20.02 	19.29 	19.65 	18.81 	: 
C,NAC,LT	: 	21.20 	17.83 	15.08 	13.98 	14.15 	13.17 	13.13 	11.89 	9.43 	9.79 	8.03 	6.41 	: 
C,NAC,LU	25.75 	24.99 	24.09 	23.66 	22.93 	22.86 	21.95 	20.94 	20.34 u	22.44 	21.17 	21.06 	20.48 	: 
C,NAC,LV	4.24 	3.46 	2.60 	2.04 	1.77 	1.72 	1.50 	1.31 	1.24 	1.24 	1.09 	1.04 	: 	: 
C,NAC,MT	: 	7.16 	10.12 	7.61 	7.94 	7.01 	6.77 	: 	: 	: 	: 	: 	: 	: 
C,NAC,NL	: 	: 	: 	48.84 	46.97 	43.80 	42.40 	38.95 	36.98 	35.04 	34.35 	32.95 	33.76 	: 
C,NAC,PL	: 	46.34 	43.34 	41.16 	38.20 	34.35 	33.93 	32.37 	29.52 	27.16 	24.53 	21.13 	18.05 	: 
C,NAC,PT	8.75 	8.42 	7.87 	8.00 	8.00 	7.90 	7.90 	7.80 	7.77 	7.52 	7.25 	6.99 	6.73 	: 
C,NAC,RO	: 	22.76 	21.10 	17.75 	13.57 	11.37 	9.74 	7.30 	4.95 	: 	: 	: 	: 	: 
C,NAC,SE	: 	332.60 	310.79 	305.48 	295.37 	291.40 	277.92 	268.47 	256.57 	257.66 	250.79 	240.26 	229.35 	212.96 
C,NAC,SI	: 	17.19 	16.47 	15.90 	14.78 	13.42 	12.42 	11.28 	10.05 	9.26 	8.39 	7.85 	6.92 	6.13 
C,NAC,SK	: 	7.60 	7.11 	6.34 	5.93 	5.70 	5.42 	5.39 	5.44 	4.54 	3.98 	3.86 	3.36 	: 
C,NAC,UK	: 	23.98 	23.42 	20.60 	21.54 	21.37 	22.22 	20.89 	19.36 	16.60 	15.66 	13.85 	14.37 	: 
C,PPS,AT	29.33 	29.85 	29.41 	29.95 	28.87 	28.68 	27.42 	26.57 	27.24 	28.40 	30.56 	32.57 	32.65 	: 
C,PPS,BE	: 	: 	: 	: 	: 	27.82 	28.98 	27.17 	26.15 	23.53 	22.63 	22.45 	21.66 	: 
C,PPS,BG	: 	8.28 	7.53 	7.11 	7.02 	6.51 	6.27 	5.84 	5.81 	4.61 e	3.90 e	: 	: 	: 
C,PPS,CH	24.49 	: 	23.46 	: 	22.49 	: 	22.44 	: 	20.24 	: 	: 	: 	: 	: 
C,PPS,CY	19.55 	17.52 	16.42 	15.41 	13.90 	13.80 	13.27 	12.79 	12.93 	12.50 	12.26 	11.87 	11.17 	: 
C,PPS,CZ	: 	15.90 	14.97 	13.64 	12.88 	12.48 	11.82 	11.50 	10.20 	9.27 	9.35 	8.20 	8.11 	7.34 
C,PPS,DE	: 	30.29 	30.60 	30.85 	29.11 	28.92 	28.79 	29.92 	28.91 	26.94 	26.20 	26.20 	23.99 	: 
C,PPS,DK	: 	32.02 	32.86 	28.72 	28.36 	26.78 	27.91 	24.65 	25.25 	25.46 	25.93 	24.08 	: 	: 
C,PPS,EE	11.87 	10.84 	9.66 	8.83 	8.38 	7.99 	7.43 	6.88 	6.99 	6.43 	5.91 	5.48 	4.89 	: 
C,PPS,EL	: 	: 	: 	: 	: 	17.81 	17.92 	16.40 	15.14 	14.11 	13.44 	13.21 	12.79 	12.56 
C,PPS,ES	: 	22.17 	22.19 	21.74 	21.32 	21.54 	21.34 	20.28 	21.86 	21.61 	21.46 	21.32 	21.49 	: 
C,PPS,FI	26.99 	26.28 	24.35 	22.71 	20.99 	20.39 	19.64 	18.15 	17.89 	17.01 	16.38 	16.05 	15.46 	: 
C,PPS,FR	29.86 	28.81 	26.73 	25.42 	24.21 	24.40 	25.71 	25.59 	25.23 	23.51 	23.41 	23.52 	22.91 	: 
C,PPS,HU	: 	11.75 	10.29 	10.91 	9.99 	10.18 	9.90 	9.62 	9.89 	8.97 	8.64 	8.65 	8.17 	: 
C,PPS,IE	: 	: 	21.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,PPS,IT	: 	: 	: 	: 	20.33 	21.66 	20.64 	20.22 	21.45 	20.39 	19.62 	19.78 	18.71 	: 
C,PPS,LT	: 	10.23 	9.00 	7.95 	7.57 	7.83 	7.03 	6.77 	6.11 	4.72 	4.79 	4.10 	3.46 	: 
C,PPS,LU	21.92 	21.77 	21.63 	21.18 	22.25 	22.14 	21.50 	20.22 	20.05 u	21.82 	20.17 	19.66 	19.28 	: 
C,PPS,LV	8.06 	7.42 	6.15 	5.15 	4.74 	4.95 	4.53 	3.96 	3.77 	3.80 	3.35 	3.30 	: 	: 
C,PPS,MT	: 	9.49 	13.53 	10.40 	10.88 	9.81 	9.53 	: 	: 	: 	: 	: 	: 	: 
