nace_r1,currency,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
C,EUR,AT	4684.0 	4671.0 	4537.0 	4624.0 	4432.0 	4517.0 	4059.0 	3941.0 	3867.0 	4266.0 	4682.9 	5132.2 	5482.8 	: 
C,EUR,BE	: 	: 	: 	: 	: 	3795.2 	3765.1 	3588.8 	3412.6 	3362.2 	: 	: 	: 	: 
C,EUR,BG	: 	528.2 	451.5 	429.0 	413.1 	366.9 	352.5 	331.4 	309.5 	: 	: 	: 	: 	: 
C,EUR,CY	3033.5 	2915.6 	2815.3 	2642.0 	2548.8 	2364.4 	2224.9 	2137.6 	2029.9 	1935.2 	1863.8 	1785.8 	1671.3 	: 
C,EUR,CZ	: 	1347.7 	1253.2 	1077.1 	973.6 	920.0 	909.7 	769.1 	697.0 	638.1 	608.0 	542.7 	505.1 	427.9 
C,EUR,DE	: 	4373.0 	4451.0 	4520.0 	4326.0 	4269.0 	4256.0 	4458.0 	4323.0 	4072.0 	4011.0 	4002.0 	3800.0 	: 
C,EUR,DK	: 	6542.2 	6522.9 	5984.9 	5879.8 	5908.3 	5604.7 	4750.5 	4764.0 b	4882.1 	4956.2 	4643.5 	: 	: 
C,EUR,EE	1306.5 	1114.9 	879.7 	768.1 	759.5 	707.4 	653.9 	608.1 	525.7 	443.7 	403.7 	367.1 	336.0 	: 
C,EUR,EL	: 	: 	: 	: 	: 	2294.1 	2171.9 	2056.3 	1970.6 	1927.9 	1797.8 	1819.7 	1744.2 	1665.3 
C,EUR,ES	: 	2906.5 	2838.6 	2756.0 	2686.5 	2618.6 	2491.1 	2415.0 b	2480.4 	2468.5 	2342.3 	2432.7 	2495.8 	: 
C,EUR,FI	4495.0 	4312.0 	4102.0 	3857.0 	3568.0 	3542.0 	3340.0 	3068.0 	3036.0 	2860.0 	2749.2 	2754.9 	2724.3 	: 
C,EUR,FR	3523.7 	3358.6 	3224.5 	3305.6 	3338.6 	3326.1 	3257.9 	3282.9 	3295.4 	3299.3 	3412.9 	3472.0 	3588.4 	: 
C,EUR,HU	: 	1172.4 	959.4 	1064.2 	930.8 	887.2 	852.0 	758.9 	707.3 	626.5 	583.6 	576.5 	502.5 	: 
C,EUR,IE	: 	: 	4271.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,EUR,IT	: 	: 	: 	: 	: 	: 	3261.0 	3135.0 	: 	: 	: 	: 	: 	: 
C,EUR,LT	: 	945.9 	790.7 	687.0 	617.2 	644.4 	600.7 	572.8 	487.4 	358.1 	336.7 	277.1 	188.6 	: 
C,EUR,LU	3963.0 	3855.0 	3697.0 	3556.0 	3537.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,EUR,LV	918.1 	773.5 	594.6 	462.1 	418.4 	386.6 	389.8 	358.3 	345.2 	309.5 	259.9 	244.8 	: 	: 
C,EUR,MT	: 	864.5 	878.5 	843.6 	827.4 	1311.9 	1229.8 	: 	: 	: 	: 	: 	: 	: 
C,EUR,NL	: 	: 	: 	7165.0 	6944.0 	6400.0 	6210.0 	5699.0 	5338.0 	5080.0 	5006.0 	4791.0 b	4793.0 	: 
C,EUR,PL	: 	1708.9 	1548.0 	1427.1 	1186.9 	1094.2 	1224.1 	1221.5 	1024.4 	893.2 	865.0 	791.5 	738.9 	: 
