unit,lcstruct,nace_r2,geo\time	2018 	2017 	2016 	2012 	2008 	2004 	2000 
EUR,D11,B,AT	29.0 p	28.1 p	28.1 	26.9 	22.2 	22.3 d	20.1 d
EUR,D11,B,BE	30.9 	30.2 	29.5 	30.3 	: 	: 	17.7 d
EUR,D11,B,BG	7.1 	6.5 	5.7 	5 	3.3 	2.0 d	1.5 d
EUR,D11,B,CZ	10.5 	9.5 	8.8 	9.6 	8.7 	5.0 d	3.4 d
EUR,D11,B,DE	31.5 	31.2 	30.4 	27 	25.1 	21.8 d	22.2 d
EUR,D11,B,DK	44.3 	44.7 	44.8 	45.9 	33.7 	34.1 d	29.2 d
EUR,D11,B,EA	22.9 	22.5 	22.3 	20.6 	18.3 	15.7 	14.7 d
EUR,D11,B,EA19	27.2 	26.7 	26.4 	24.3 	20.6 	17.2 d	: 
EUR,D11,B,EE	11.1 	10.4 	9.5 	: 	6.9 	3.9 d	2.9 d
EUR,D11,B,EL	15.9 	15.6 	15 	14.6 	13.7 	12.5 d	10.2 d
EUR,D11,B,ES	23.3 	23.9 	23.6 	22.6 	16.7 	14.7 d	13.2 d
EUR,D11,B,EU15	32.5 	31.2 	31.2 	28.4 	24.5 	: 	15.9 d
EUR,D11,B,EU28	21.1 	20.1 	19.6 	17.5 	15.3 	10.9 	: 
EUR,D11,B,FI	27.4 	25.6 	25.4 	28.2 	22.9 	20.1 d	16.7 d
EUR,D11,B,FR	26.2 	25.1 	24.5 	21.9 	22.1 	: 	12.9 d
EUR,D11,B,HR	9.7 	10.5 	11 	9.6 	10.4 	8.0 d	: 
EUR,D11,B,HU	8.3 	7.6 	6.8 	6.9 	6.3 	4.4 d	3.3 d
EUR,D11,B,IE	29.4 	26.8 	27 	27.1 	24.4 	23.7 d	15.9 d
EUR,D11,B,IS	: c	: c	: c	: c	: c	: 	: 
EUR,D11,B,IT	31.3 	30.8 	30.6 	30.3 	23.9 	20.5 d	14.4 d
EUR,D11,B,LT	7.4 	7 	6.3 	5.2 	5.5 	3.0 d	2.3 d
EUR,D11,B,LU	26.3 	25.9 	26.4 	23.8 	: 	: 	16.9 d
