id,name,year,cluster,fitness,gdp,gdp_aggr,labour_costs,wages,employment,education,complexity,ag1,name_ag1
1,Live animals,1999,,,,,,,,,0.6525872987420751,0.0,Food and live animals
2,Meat and edible meat offal,1999,,,,,,,,,0.8864108353335657,0.0,Food and live animals
3,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1999,,,,,,,,,0.12189858395005004,0.0,Food and live animals
4,"Dairy products, eggs, honey, edible animal product nes",1999,,,,,,,,,0.7876650060786791,0.0,Food and live animals
5,"Products of animal origin, nes",1999,,,,,,,,,0.28975432571311666,2.0,"Crude materials, inedible, except fuels"
6,"Live trees, plants, bulbs, roots, cut flowers etc",1999,,,,,,,,,0.4638411331082386,2.0,"Crude materials, inedible, except fuels"
7,Edible vegetables and certain roots and tubers,1999,,,,,,,,,0.43579027611201454,0.0,Food and live animals
8,"Edible fruit, nuts, peel of citrus fruit, melons",1999,,,,,,,,,0.1092394382129174,0.0,Food and live animals
9,"Coffee, tea, mate and spices",1999,,,,,,,,,0.032170155792480025,0.0,Food and live animals
10,Cereals,1999,,,,,,,,,0.5705002954806087,0.0,Food and live animals
11,"Milling products, malt, starches, inulin, wheat gluten",1999,,,,,,,,,0.26344339902569297,5.0,"Chemicals and related products, n.e.s."
12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, nes",1999,,,,,,,,,0.2414797147425577,0.0,Food and live animals
13,"Lac, gums, resins, vegetable saps and extracts nes",1999,,,,,,,,,0.6473352708123771,2.0,"Crude materials, inedible, except fuels"
14,"Vegetable plaiting materials, vegetable products nes",1999,,,,,,,,,0.26505172599590576,2.0,"Crude materials, inedible, except fuels"
15,"Animal,vegetable fats and oils, cleavage products, etc",1999,,,,,,,,,0.3768951135495695,4.0,"Animal and vegetable oils, fats and waxes"
16,"Meat, fish and seafood food preparations nes",1999,,,,,,,,,0.21913162108508616,0.0,Food and live animals
17,Sugars and sugar confectionery,1999,,,,,,,,,0.09097322978356474,0.0,Food and live animals
18,Cocoa and cocoa preparations,1999,,,,,,,,,0.042855702093269,0.0,Food and live animals
19,"Cereal, flour, starch, milk preparations and products",1999,,,,,,,,,0.8815517614321015,0.0,Food and live animals
20,"Vegetable, fruit, nut, etc food preparations",1999,,,,,,,,,0.6763972129772156,0.0,Food and live animals
21,Miscellaneous edible preparations,1999,,,,,,,,,0.5791613107926958,0.0,Food and live animals
22,"Beverages, spirits and vinegar",1999,,,,,,,,,0.42940935400381625,0.0,Food and live animals
23,"Residues, wastes of food industry, animal fodder",1999,,,,,,,,,0.4234161152499023,0.0,Food and live animals
24,Tobacco and manufactured tobacco substitutes,1999,,,,,,,,,0.12727517587728787,1.0,Beverages and tobacco
25,"Salt, sulphur, earth, stone, plaster, lime and cement",1999,,,,,,,,,0.20628568450056134,2.0,"Crude materials, inedible, except fuels"
26,"Ores, slag and ash",1999,,,,,,,,,0.28803532425511474,2.0,"Crude materials, inedible, except fuels"
27,"Mineral fuels, oils, distillation products, etc",1999,,,,,,,,,0.15629661112518814,3.0,"Mineral fuels, lubricants and related materials"
28,"Inorganic chemicals, precious metal compound, isotopes",1999,,,,,,,,,0.32656767811366066,5.0,"Chemicals and related products, n.e.s."
29,Organic chemicals,1999,,,,,,,,,1.901598629769895,5.0,"Chemicals and related products, n.e.s."
30,Pharmaceutical products,1999,,,,,,,,,1.2950360630731197,5.0,"Chemicals and related products, n.e.s."
31,Fertilizers,1999,,,,,,,,,0.33145601211781983,5.0,"Chemicals and related products, n.e.s."
32,"Tanning, dyeing extracts, tannins, derivs,pigments etc",1999,,,,,,,,,1.4472975425900578,8.0,Miscellaneous manufactured articles
33,"Essential oils, perfumes, cosmetics, toileteries",1999,,,,,,,,,1.061992117788538,5.0,"Chemicals and related products, n.e.s."
34,"Soaps, lubricants, waxes, candles, modelling pastes",1999,,,,,,,,,0.7144738235831523,5.0,"Chemicals and related products, n.e.s."
35,"Albuminoids, modified starches, glues, enzymes",1999,,,,,,,,,1.110442253790606,5.0,"Chemicals and related products, n.e.s."
36,"Explosives, pyrotechnics, matches, pyrophorics, etc",1999,,,,,,,,,1.0951546531145022,8.0,Miscellaneous manufactured articles
37,Photographic or cinematographic goods,1999,,,,,,,,,3.0354329542040293,8.0,Miscellaneous manufactured articles
38,Miscellaneous chemical products,1999,,,,,,,,,1.4885484969876073,5.0,"Chemicals and related products, n.e.s."
39,Plastics and articles thereof,1999,,,,,,,,,1.5663688277672199,8.0,Miscellaneous manufactured articles
40,Rubber and articles thereof,1999,,,,,,,,,1.0770914609338813,6.0,Manufactured goods
41,Raw hides and skins (other than furskins) and leather,1999,,,,,,,,,0.6586167201027288,2.0,"Crude materials, inedible, except fuels"
42,"Articles of leather, animal gut, harness, travel goods",1999,,,,,,,,,1.4525196065325172,8.0,Miscellaneous manufactured articles
43,"Furskins and artificial fur, manufactures thereof",1999,,,,,,,,,0.6377537553765189,8.0,Miscellaneous manufactured articles
44,"Wood and articles of wood, wood charcoal",1999,,,,,,,,,0.4168235246979409,6.0,Manufactured goods
45,Cork and articles of cork,1999,,,,,,,,,0.6846032974094156,6.0,Manufactured goods
46,"Manufactures of plaiting material, basketwork, etc.",1999,,,,,,,,,0.7903275234193194,8.0,Miscellaneous manufactured articles
47,"Pulp of wood, fibrous cellulosic material, waste etc",1999,,,,,,,,,1.2796330257627442,2.0,"Crude materials, inedible, except fuels"
48,"Paper & paperboard, articles of pulp, paper and board",1999,,,,,,,,,1.058909087050839,6.0,Manufactured goods
49,"Printed books, newspapers, pictures etc",1999,,,,,,,,,0.7950117633988961,8.0,Miscellaneous manufactured articles
50,Silk,1999,,,,,,,,,1.4382094259192508,6.0,Manufactured goods
51,"Wool, animal hair, horsehair yarn and fabric thereof",1999,,,,,,,,,0.9636552143218552,6.0,Manufactured goods
